report_date,code,name,rule_id,action,entry_low,entry_high,target,stop_loss,entry_date,actual_entry_price,exit_price,close_reason,close_date,pnl_pct,pnl_twd,days_watched,confidence
20260507,3231,緯創,Trump全球關稅政策衝擊出口,停看等,142.1,146.5,153.8,139.2,20260508,146.0,139.2,triggered_stop,20260511,-4.66,-4658.0,1,0.95
20260507,2357,華碩,Trump全球關稅政策衝擊出口,停看等,610.1,629.0,660.5,597.5,20260518,629.0,660.5,triggered_target,20260522,5.01,5008.0,7,0.95
20260507,2317,鴻海,Trump全球關稅政策衝擊出口,停看等,244.4,252.0,264.6,239.4,20260508,252.0,264.6,triggered_target,20260527,5.0,5000.0,1,0.95
20260507,4938,和碩,Trump全球關稅政策衝擊出口,停看等,81.1,83.6,87.8,79.4,20260511,83.6,79.4,triggered_stop,20260514,-5.02,-5024.0,2,0.95
20260507,2382,廣達,Trump全球關稅政策衝擊出口,停看等,336.1,346.5,363.8,329.2,20260508,343.5,329.2,triggered_stop,20260515,-4.16,-4163.0,1,0.95
20260507,3008,大立光,Trump全球關稅政策衝擊出口,停看等,2444.4,2520.0,2646.0,2394.0,,,,expired,20260521,,,10,0.95
20260513,2317,鴻海,Trump全球關稅政策衝擊出口,停看等,243.5,251.0,263.6,238.4,20260514,251.0,263.6,triggered_target,20260527,5.02,5020.0,1,0.93
20260513,4938,和碩,Trump全球關稅政策衝擊出口,停看等,79.3,81.8,85.9,77.7,20260514,81.0,77.7,triggered_stop,20260514,-4.07,-4074.0,1,0.93
20260513,3231,緯創,Trump全球關稅政策衝擊出口,停看等,136.3,140.5,147.5,133.5,20260514,140.5,133.5,triggered_stop,20260518,-4.98,-4982.0,1,0.93
20260513,2382,廣達,Trump全球關稅政策衝擊出口,停看等,330.3,340.5,357.5,323.5,20260514,340.5,323.5,triggered_stop,20260515,-4.99,-4993.0,1,0.93
20260513,3008,大立光,Trump全球關稅政策衝擊出口,停看等,2764.5,2850.0,2992.5,2707.5,,,,expired,20260527,,,10,0.93
20260513,2357,華碩,Trump全球關稅政策衝擊出口,停看等,643.1,663.0,696.1,629.9,20260515,663.0,629.9,triggered_stop,20260518,-4.99,-4992.0,2,0.93
20260514,2327,國巨*,Vera Rubin換代觸發被動元件超缺,觀察買進,410,420,462,345,,,,not_triggered,,,,9,0.92
20260514,2492,華新科,Vera Rubin換代觸發被動元件超缺,觀察買進,187,200,220,148,,,,not_triggered,,,,9,0.92
20260514,2472,立隆電,Vera Rubin換代觸發被動元件超缺,觀察買進,225,235,256,188,20260515,228.5,256.0,triggered_target,20260521,12.04,12035.0,1,0.92
20260514,6690,ACER CYBER SECURITY INC,鋁電容日系大廠退出供應缺口漲價,觀察買進,163,168,177,160,20260515,168.0,169.5,still_open,,0.89,893.0,1,0.87
